age,gender,familiarity,seen_advertisements,which_kind,impression,ads_description,rate_itc_compared_to_other_brands,ads_effective,buy_itc_products_based_on_advertisements,factors,price_rating,quality_rating,features_rating,brand_value_rating,availability_rating,value_of_money_rating,brand_promotion_rating,experience_with_products_rating,duration_of_use,continue_using_after_increase_in_price,willing_to_recommend,likely_to_make_another_purchase,likely_to_switch_to_another_brand,Unnamed: 24,fam_new,gen_new,rate_new,buy_new,price_new,qualit_new,features_new,brand_value_new,availability_new,value_new,brand_promotions_new,experience_new,duration_new,continue_using_after_increase_in_price_new,willing_to_recommend_new,seen_advertisements_new
21,Male,I use it daily,Yes,"YouTube Ads, Posters",Positive,"Active, Cheerful, Creative, Emotional",Somewhat better,4,Yes,"Price, Quality",Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Very satisfied,1 year - 3 years,No,Yes,4,3,,2,1,2,2,2,2,3,2,2,2,1,2,0,1,2,2
21,Male,Generally aware of the brand,Yes,"TV Commercials, Social Media campaigns, YouTube Ads",Positive,"Active, Attention getting, Genuine, Honest",Much better,4,Yes,"Price, Quality, Features, Brand value, Availability, Value for money",Satisfied,Very satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,1 year - 3 years,Yes,Yes,4,2,,0,1,1,2,2,2,2,0,2,3,2,1,0,2,2,2
20,Male,Purchased it couple of times,Yes,"TV Commercials, Posters",Positive,"Cheerful, Energetic",About the same,4,Maybe,"Quality, Availability",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,4 years - 6 years,Maybe,Yes,3,3,,3,1,0,0,2,1,2,1,2,2,2,1,1,0,2,2
20,Male,I use it daily,Yes,"TV Commercials, Social Media campaigns",Positive,"Active, Attention getting, Creative",Much better,4,Yes,"Price, Quality, Features",Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,More than 6 years,Yes,Yes,5,2,,2,1,1,2,4,2,3,2,3,3,4,2,3,2,2,2
19,Female,Purchased it couple of times,Yes,TV Commercials,Positive,"Attention getting, Creative",Somewhat better,3,Maybe,"Quality, Value for money",Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,More than 6 years,Maybe,Yes,5,3,,3,0,2,0,2,1,2,1,3,2,1,1,3,0,2,2
20,Female,Purchased it couple of times,Yes,"TV Commercials, Social Media campaigns",Positive,"Active, Clever, Creative, Humorous",Somewhat better,3,Maybe,"Price, Quality, Features, Value for money",Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,4 years - 6 years,Maybe,Maybe,4,5,,3,0,2,0,1,1,2,1,3,2,2,2,1,0,0,2
20,Male,Purchased it couple of times,Yes,"TV Commercials, YouTube Ads",Positive,"Active, Creative, Genuine",Somewhat better,5,Yes,"Quality, Availability, Value for money",Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,More than 6 years,Maybe,Yes,4,4,,3,1,2,2,2,2,3,2,2,3,2,2,3,0,2,2
20,Male,I use it daily,Yes,"TV Commercials, Social Media campaigns, YouTube Ads",Positive,"Active, Attention getting, Cheerful, Clever, Creative, Emotional, Energetic, Genuine, Honest",Much better,4,No,"Quality, Features, Brand value, Value for money",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,More than 6 years,Yes,Yes,5,2,,2,1,1,1,2,1,2,1,2,2,2,1,3,2,2,2
18,Female,I use it daily,Yes,TV Commercials,Positive,Active,Much better,5,Yes,Quality,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Les than 1 year,Yes,Yes,4,4,,2,0,1,2,2,1,3,2,3,3,4,2,2,2,2,2
19,Female,Purchased it couple of times,Yes,TV Commercials,Positive,"Attention getting, Creative",Somewhat better,4,No,"Quality, Features, Brand value, Value for money",Satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,4 years - 6 years,Maybe,Yes,4,4,,3,0,2,1,2,2,2,2,3,3,2,2,1,0,2,2
20,Female,I use it daily,Yes,TV Commercials,Positive,"Creative, Genuine, Colourful",About the same,4,Maybe,"Quality, Availability",Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,More than 6 years,No,Yes,4,4,,2,0,0,0,1,1,2,2,3,2,1,1,3,1,2,2
20,Female,Purchased it couple of times,Maybe,Posters,Positive,"Creative, Emotional, Genuine",Somewhat better,3,Maybe,"Price, Quality, Features",Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,4 years - 6 years,Maybe,Yes,3,4,,3,0,2,0,1,1,2,1,2,1,1,1,1,0,2,0
19,Female,Generally aware of the brand,Yes,YouTube Ads,Positive,"Active, Attention getting, Cheerful",Much better,4,Maybe,"Price, Quality, Features",Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Les than 1 year,Maybe,Maybe,4,4,,0,0,1,0,2,2,3,2,3,3,2,1,2,0,0,2
20,Male,I use it daily,Maybe,YouTube Ads,Positive,"Active, Attention getting, Clever, Creative",Somewhat better,4,No,"Price, Quality",Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,More than 6 years,Yes,Yes,4,2,,2,1,2,1,2,2,3,2,3,3,2,2,3,2,2,0
